DATE,STLFSI
1993-12-31,0.239
1994-01-07,0.284
1994-01-14,0.227
1994-01-21,0.246
1994-01-28,0.222
1994-02-04,0.204
1994-02-11,0.311
1994-02-18,0.313
1994-02-25,0.406
1994-03-04,0.483
1994-03-11,0.517
1994-03-18,0.511
1994-03-25,0.551
1994-04-01,0.665
1994-04-08,0.796
1994-04-15,0.736
1994-04-22,0.767
1994-04-29,0.684
1994-05-06,0.759
1994-05-13,0.932
1994-05-20,0.765
1994-05-27,0.784
1994-06-03,0.818
1994-06-10,0.740
1994-06-17,0.754
1994-06-24,0.820
1994-07-01,0.948
1994-07-08,0.942
1994-07-15,0.861
1994-07-22,0.764
1994-07-29,0.743
1994-08-05,0.720
1994-08-12,0.792
1994-08-19,0.701
1994-08-26,0.709
1994-09-02,0.696
1994-09-09,0.749
1994-09-16,0.784
1994-09-23,0.791
1994-09-30,0.911
1994-10-07,0.939
1994-10-14,0.950
1994-10-21,0.928
1994-10-28,0.961
1994-11-04,0.938
1994-11-11,0.956
1994-11-18,0.938
1994-11-25,0.987
1994-12-02,0.960
1994-12-09,0.949
1994-12-16,0.977
1994-12-23,0.999
1994-12-30,1.013
1995-01-06,1.096
1995-01-13,0.995
1995-01-20,0.938
1995-01-27,0.942
1995-02-03,0.871
1995-02-10,0.848
1995-02-17,0.856
1995-02-24,0.836
1995-03-03,0.838
1995-03-10,0.944
1995-03-17,0.839
1995-03-24,0.822
1995-03-31,0.842
1995-04-07,0.848
1995-04-14,0.840
1995-04-21,0.831
1995-04-28,0.777
1995-05-05,0.750
1995-05-12,0.725
1995-05-19,0.702
1995-05-26,0.627
1995-06-02,0.657
1995-06-09,0.678
1995-06-16,0.750
1995-06-23,0.725
1995-06-30,0.771
1995-07-07,0.747
1995-07-14,0.647
1995-07-21,0.686
1995-07-28,0.775
1995-08-04,0.765
1995-08-11,0.722
1995-08-18,0.733
1995-08-25,0.695
1995-09-01,0.719
1995-09-08,0.657
1995-09-15,0.626
1995-09-22,0.652
1995-09-29,0.699
1995-10-06,0.659
1995-10-13,0.641
1995-10-20,0.630
1995-10-27,0.670
1995-11-03,0.581
1995-11-10,0.519
1995-11-17,0.526
1995-11-24,0.497
1995-12-01,0.457
1995-12-08,0.430
1995-12-15,0.434
1995-12-22,0.556
1995-12-29,0.524
1996-01-05,0.471
1996-01-12,0.521
1996-01-19,0.494
1996-01-26,0.460
1996-02-02,0.410
1996-02-09,0.437
1996-02-16,0.443
1996-02-23,0.533
1996-03-01,0.613
1996-03-08,0.642
1996-03-15,0.777
1996-03-22,0.747
1996-03-29,0.748
1996-04-05,0.770
1996-04-12,0.885
1996-04-19,0.859
1996-04-26,0.769
1996-05-03,0.830
1996-05-10,0.840
1996-05-17,0.730
1996-05-24,0.682
1996-05-31,0.738
1996-06-07,0.799
1996-06-14,0.824
1996-06-21,0.807
1996-06-28,0.789
1996-07-05,0.776
1996-07-12,0.826
1996-07-19,0.845
1996-07-26,0.866
1996-08-02,0.865
1996-08-09,0.698
1996-08-16,0.677
1996-08-23,0.678
1996-08-30,0.782
1996-09-06,0.890
1996-09-13,0.783
1996-09-20,0.766
1996-09-27,0.823
1996-10-04,0.824
1996-10-11,0.765
1996-10-18,0.705
1996-10-25,0.719
1996-11-01,0.686
1996-11-08,0.582
1996-11-15,0.541
1996-11-22,0.516
1996-11-29,0.550
1996-12-06,0.632
1996-12-13,0.728
1996-12-20,0.763
1996-12-27,0.677
1997-01-03,0.710
1997-01-10,0.752
1997-01-17,0.709
1997-01-24,0.692
1997-01-31,0.724
1997-02-07,0.678
1997-02-14,0.573
1997-02-21,0.570
1997-02-28,0.599
1997-03-07,0.650
1997-03-14,0.646
1997-03-21,0.689
1997-03-28,0.700
1997-04-04,0.864
1997-04-11,0.816
1997-04-18,0.811
1997-04-25,0.848
1997-05-02,0.799
1997-05-09,0.806
1997-05-16,0.779
1997-05-23,0.737
1997-05-30,0.797
1997-06-06,0.812
1997-06-13,0.752
1997-06-20,0.695
1997-06-27,0.697
1997-07-04,0.646
1997-07-11,0.586
1997-07-18,0.541
1997-07-25,0.526
1997-08-01,0.483
1997-08-08,0.489
1997-08-15,0.562
1997-08-22,0.563
1997-08-29,0.593
1997-09-05,0.655
1997-09-12,0.648
1997-09-19,0.593
